cust_id,balance,purchases,installments_purchases,cash_advance,credit_limit,payments,minimum_payments,fraud
C10084,42.46443,396,396,0,1200,725.606194,140.809454,0
C10085,1935.362486,4915.6,400.26,293.844792,9000,4921.066897,594.756686,0
C10086,134.917202,1247.8,0,0,16500,1275.229436,171.357189,0
C10087,7069.950386,1603.78,158.64,5626.004046,11000,4589.873897,1876.262988,0
C10088,8181.251131,2258.01,939.23,5251.228934,13500,3021.575846,2074.581541,0
C10089,4037.305658,45,0,104.238064,4500,1073.844885,968.941265,0
C10090,6110.265264,0,0,978.9806305,6500,1502.205631,2864.380327,0
C10091,9381.255094,5100.07,3952.24,370.737197,9000,6409.496345,9827.045323,0
C10092,1977.00709,1032.04,805.14,4335.919227,4000,3056.424974,910.707525,0
C10093,1321.47608,45.65,0,495.657934,1800,440.840439,312.560636,0
C10094,1307.717841,405.6,0,0,2400,0,864.1732459,0
C10095,2329.485768,213.34,0,0,2400,0,864.1732459,0
C10096,1139.782882,0,0,120.612912,1200,151.823651,2906.110765,0
C10097,1619.955708,739.44,0,0,6000,417.128532,389.138517,0
C10098,3505.671311,0,0,1713.984305,4000,0,864.1732459,0
C10099,4.708041,79,79,0,7000,217.820198,121.781205,0
C10100,0,0,0,89.849004,3000,138.021428,864.1732459,0
C10101,4.875885,20,0,0,1500,26.487919,60.913577,0
C10102,23.394411,1346.28,1346.28,0,2000,712.149153,54.79166,0
C10103,3539.801912,2823.8,1283.39,0,5700,9172.788366,2103.796148,0
C10104,0.62424,389.96,389.96,0,4500,0,864.1732459,0
C10105,862.07238,0,0,920.309805,4000,2236.890255,214.828158,0
C10106,2441.542991,808,0,959.857263,4000,532.741699,1026.976,0
C10107,408.656365,941.64,941.64,0,2500,1097.78942,176.610605,0
C10108,4986.400804,0,0,5439.467563,8000,1241.538024,1439.230899,0
C10109,1246.624558,423.7,246.06,412.399058,2000,577.050373,498.365419,0
C10110,6644.201651,4478.75,1757.16,7205.520805,9000,10857.94321,2469.571326,0
C10111,156.216753,1354.86,769.23,0,5500,858.976682,108.319927,0
C10112,3393.351236,0,0,1008.348672,4200,0,864.1732459,0
C10113,5322.994094,2812.2,1955.08,2510.352951,8500,1509.423237,1834.031569,0
C10114,6458.56209,0,0,3360.228794,7000,1277.76778,2760.115734,0
C10115,175.341651,1508.9,256.54,0,5000,1884.227778,136.639824,0
C10116,680.195157,1045.57,377.62,0,3000,552.432305,207.720441,0
C10117,223.763616,2309.78,2309.78,0,6500,1206.81188,99.372848,0
C10118,1785.626943,0,0,576.206382,1800,687.691735,2439.136113,0
C10119,54.933231,495,495,0,7000,1969.845566,147.049952,0
C10120,2662.629852,0,0,509.023801,3000,932.418855,709.207016,0
C10121,8504.876253,6724.26,2624.18,1686.599777,17000,1888.756861,2167.446204,0
C10122,1464.324632,1174.39,0,0,9000,0,864.1732459,0
C10123,2114.158683,5580.85,5580.85,0,8500,3564.977774,630.00413,0
C10124,2876.396444,0,0,978.9806305,3200,1065.426905,1412.648089,0
C10125,14224.11541,0,0,4614.427403,19000,3066.614272,3406.258999,0
C10126,2392.917738,12462.44,0,0,2800,11628.71557,2000.990921,1
C10127,57.453201,0,0,272.713302,1200,385.853874,84.697292,0
C10128,4245.855092,1957.3,880,0,5000,1004.35474,1086.428906,0
C10129,11167.23403,150.64,0,8362.154254,17000,2606.059389,2894.077159,0
C10130,69.405545,0,0,2799.714934,13000,0,864.1732459,0
C10131,116.654149,907,0,273.558033,5000,0,864.1732459,0
C10132,4637.848144,1271.12,919.58,0,5000,1906.032044,3572.279251,0
C10133,24.28497,250.6,250.6,0,3000,319.762903,173.632006,0
C10134,9354.06045,796.33,0,13748.47131,13000,10664.65866,2600.875721,0
C10135,231.108995,440,440,0,4000,554.116542,185.091037,0
C10136,1562.633343,1330.62,160.99,0,2000,1020.783647,709.610053,0
C10137,2494.868559,5491.79,4101.29,0,17000,1015.311953,615.92402,0
C10138,706.132889,897.86,183.34,586.268966,1200,972.358048,184.524376,0
C10139,19043.13856,22009.92,12560.85,0,18000,23018.57583,18621.01331,1
C10140,2235.103331,720.6,0,723.308724,2500,1061.292471,689.118919,1
C10141,947.13081,197.06,48.4,0,1000,492.200419,509.384182,0
C10142,764.042156,0,0,1307.102516,7500,1566.806897,172.959728,0
C10143,5347.814547,0,0,4002.353384,7000,0,864.1732459,0
C10144,10598.46777,2084.48,784,0,21500,3219.621433,3068.125648,0
C10145,2163.678757,5779.36,2342.83,0,6500,4416.41268,546.439139,0
C10146,3057.400553,1025,0,0,7500,698.854095,819.682666,0
C10147,19.354559,689.7,689.7,0,10000,746.691026,864.1732459,0
C10148,264.811595,28.65,0,384.26178,9000,1235.630069,194.324456,0
C10149,1108.22253,944.96,780,0,1500,1955.198953,992.652486,0
C10150,906.573724,1039.2,959.2,103.102091,13500,1855.235407,468.196732,0
C10151,7679.62904,4059.93,4059.93,555.469352,7000,3685.61062,12854.9397,0
C10152,1523.911458,4075.37,753.09,0,6500,2254.26002,329.29648,0
C10153,49.206256,870.24,870.24,0,8000,835.839952,193.011166,0
C10154,13673.07961,9792.23,5832.42,2444.445738,20000,11717.30794,6042.391629,1
C10155,106.455975,2463.12,1673.59,0,4000,2573.722764,95.342224,0
C10156,119.760904,1859.34,1859.34,0,20000,3104.275623,288.903628,0
C10157,5837.105453,3488.49,226.24,3303.1523,7900,0,864.1732459,0
C10158,1734.510004,0,0,66.275851,1800,363.474455,2827.997525,0
C10159,2765.748281,7283.31,2196,0,11000,14373.3929,1058.128452,0
C10160,1046.37041,295,0,93.579809,1200,439.407082,362.838185,0
C10161,2737.367678,0,0,429.691164,3000,778.827993,721.798576,0
C10162,4014.818167,0,0,988.356213,8500,1009.185035,1177.149934,0
C10163,871.568977,648.22,533.22,0,1200,1110.886425,208.298424,0
C10164,1610.040203,557.19,31.55,0,4000,422.711848,616.005839,0
C10165,114.593817,469.98,469.98,0,1000,367.109312,86.102479,0
C10166,5800.587339,0,0,369.950794,6500,1346.365584,1972.526015,0
C10167,823.103926,131.64,131.64,0,8000,2916.071564,243.199498,0
C10168,595.677343,5078.14,747.61,1424.442602,15000,4756.654374,241.894073,0
C10169,1128.124563,924.6,924.6,0,1000,1202.711782,1747.037345,0
C10170,349.441102,1975.4,581.9,0,4000,1795.012223,167.219681,0
C10171,840.804076,0,0,3671.777443,4000,3621.266477,193.171404,0
C10172,975.942008,10221.35,3079.97,1620.685551,10500,10693.49585,347.641073,1
C10173,23.111088,300,300,0,12500,291.948834,43.452683,0
C10174,2187.732265,0,0,3905.326256,3000,1423.788603,461.365626,0
C10175,11972.01104,5715,1029.46,1626.351366,14000,4639.513745,3192.306018,0
C10176,1608.451822,0,0,205.737165,1800,470.565984,408.799147,0
C10177,1872.926275,766.61,0,1017.120578,2300,0,864.1732459,0
C10178,2933.240476,0,0,2040.433925,3000,2431.578544,1739.74883,0
C10179,336.799916,3535.8,1921.1,978.9806305,20000,2814.231227,186.230835,0
C10180,36.236312,256.11,256.11,0,5300,831.375322,189.036967,0
C10181,903.29781,2697.48,2546.98,0,2500,1686.196344,303.361632,0
C10182,0,23,23,0,5000,0,864.1732459,0
C10183,2881.253586,117,117,17661.49486,4500,17301.83238,931.618475,0
C10184,5.465999,196.81,23.81,0,12000,0,864.1732459,0
C10185,117.442684,653.73,160.73,0,10000,441.588141,136.827952,0
C10186,168.522709,2009.05,2009.05,0,1200,2612.760497,197.638558,0
C10187,1706.014379,147.78,147.78,1657.090283,6000,1186.062765,374.595505,0
C10188,874.583247,516.54,357.47,0,900,579.749308,693.894717,0
C10189,861.001207,969.56,0,446.233197,2400,0,864.1732459,0
C10190,966.251742,311.45,0,978.9806305,1500,277.522439,286.299328,0
C10191,38.615644,280.4,0,0,6150,254.392984,55.79974,0
C10192,189.687964,66.14,0,0,6000,0,864.1732459,0
C10193,40.417255,79.2,0,1631.576375,4000,1647.880773,24.815878,0
C10194,5462.897068,1453.32,1453.32,0,16500,1382.269127,1755.253802,0
C10195,3983.923705,756.54,0,0,4000,1110.870941,1431.201171,0
C10196,5588.846272,3507.35,2903.6,0,11500,1412.597253,1825.176503,0
C10197,281.170378,3163.69,3106.89,0,8000,2422.911622,187.046284,0
C10198,130.251538,1343.19,260.4,0,15000,1043.55929,182.429461,0
C10199,1973.814964,873,0,0,8000,541.722532,762.682834,0
C10200,5698.539876,47.55,47.55,2039.52804,6000,2976.579866,3463.174962,0
C10201,43.103899,370,0,0,23000,1212.054219,68.725483,0
C10202,566.546048,405.75,92,1044.651618,2000,1249.835142,313.052687,0
C10203,24.527253,261.64,261.64,0,4000,376.758504,169.78292,0
C10204,8350.145568,1989.28,1146.48,893.757903,14000,4720.900413,2557.044576,0
C10205,4559.779234,10848.5,2640.5,0,7500,9423.715495,2925.275522,0
C10206,2.67713,43.39,43.39,0,4000,130.107234,29.700051,0
C10207,1570.682346,645.32,0,1665.331678,1800,2591.391006,808.217224,0
C10208,7201.736985,987.1,125,5468.620604,10500,1941.541158,2391.987571,0
C10209,6467.885013,1464.14,485.43,3947.86784,11500,1658.563509,1887.413517,0
C10210,64.080909,927,327,0,5000,1260.16384,59.04439,0
C10211,5635.860679,393.62,239.9,5933.467329,10000,1919.630466,1731.549385,0
C10212,3670.50596,965.5,89.37,0,7500,1034.932404,941.496383,0
C10213,2458.376257,0,0,102.275984,7500,4543.63481,647.20869,0
C10214,768.004936,336.41,0,0,6000,947.696134,217.027653,0
C10215,75.647479,540,540,0,4000,548.967281,48.659935,0
C10216,2.433254,36,36,0,7500,0,864.1732459,0
C10217,1121.730896,878.52,775.42,197.648111,1500,542.836917,471.496776,0
C10218,7.56809,144.26,77.18,0,11500,134.710832,75.515008,0
C10219,2053.441598,493.85,52.5,1738.33378,2000,2795.059574,2661.324808,0
C10220,2422.311938,4490.69,1034.44,188.783221,8500,5763.666926,582.589765,0
C10221,9047.621884,11188.62,5089.46,0,10000,11994.41815,8517.258683,0
C10222,3061.213971,1829.2,36.5,0,7000,971.234118,985.954762,0
C10223,41.642389,75.99,0,0,2700,69.163384,99.401747,0
C10224,5431.622968,1824.16,225.6,0,14500,1508.016452,1370.519926,0
C10225,6571.484039,9325.22,0,0,8500,11036.72668,1824.680131,0
C10226,28.461629,100,0,0,4000,125.769169,104.857518,0
C10227,4178.625215,1431.89,1001.2,0,4000,2384.542045,3868.70983,0
C10228,3019.019487,2260.41,904.08,0,8500,2187.930651,739.224894,0
C10229,1.045584,0,0,466.643895,1200,1068.581252,25.537,0
C10230,2723.369217,10410.49,9251.65,0,19500,9695.650901,726.696049,0
C10231,1070.999446,990.7,508.7,0,1400,505.317328,438.324017,0
C10232,279.608696,3034.92,3034.92,0,2900,2928.909865,2733.317012,0
C10233,1255.901821,1038.81,0,1092.634704,5700,1215.454299,422.331098,0
C10234,2229.857287,45.65,0,0,2500,542.7463,628.211031,0
C10235,2363.489077,2641.98,1255.68,263.884743,3000,1839.928884,1075.456585,0
C10236,4014.388265,1189.52,0,0,8000,0,864.1732459,0
C10237,7623.224897,300,300,2800.728343,12000,1975.974183,1774.584333,0
C10238,3421.571922,126.69,83.81,154.341344,10500,2515.435738,975.504012,0
C10239,48.898611,247.09,247.09,182.357669,5500,409.594792,69.921472,0
C10240,1874.716289,301.1,218.1,0,1950,586.974046,1089.040271,0
C10241,3215.511032,1112.2,0,7616.064965,7200,0,864.1732459,0
C10242,237.235398,2410.07,739.57,0,4000,3773.727455,169.879335,0
C10243,1272.927288,5350.19,566.85,0,8000,5825.602115,318.305326,0
C10244,558.476701,630.03,0,0,5500,426.092563,213.369694,0
C10245,2814.207626,3197.24,1117.22,0,3000,3574.480603,1328.897516,0
C10246,8.061012,133,133,0,3000,130.61272,41.436595,0
C10247,435.862142,1646.16,622.74,0,12000,1055.835407,236.619362,0
C10248,6.390383,79.66,79.66,0,1500,75.896288,75.967742,0
C10249,9612.21512,319.92,319.92,13439.5704,12000,10993.89211,2501.560923,0
C10250,7938.559134,3677.52,133.79,0,12500,2657.856602,1912.298544,0
C10251,2344.478291,1041.63,0,4003.968939,4000,3033.665478,716.70488,0
C10252,996.48222,675.96,675.96,0,1000,1851.602411,1382.292833,0
C10253,19.508047,193.14,193.14,0,2000,220.46377,71.965063,0
C10254,185.640313,1703.23,0,0,11500,1449.039414,183.298253,0
C10255,5335.302925,0,0,468.958688,6000,1350.318606,1249.937085,0
C10256,22.189283,234.16,234.16,0,1500,479.910499,149.977816,0
C10257,5.871769,29.68,0,0,10000,76.943584,75.595199,0
C10258,1049.496471,1322.67,225.96,774.260436,11000,802.38543,229.655091,0
C10259,5570.190127,1607.88,1607.88,0,13500,1583.411686,2216.638394,0
C10260,1668.591831,0,0,1716.941235,1800,2166.981163,568.063083,0
C10261,2224.590946,3183,0,0,9000,3823.346244,629.080506,0
C10262,2903.781184,3014.23,1673.89,103.610197,4500,1350.370286,655.633916,0
C10263,2041.480046,7323.38,2378.5,191.331735,3000,3792.095079,1737.893866,0
C10264,7755.698607,8533.54,4460.78,7540.30735,10000,4758.209146,7256.951816,1
C10265,614.263149,408.93,334.13,0,9000,2161.153147,312.343947,0
C10266,8097.334733,3999.92,3799.92,0,7500,5624.074339,9952.672511,0
C10267,1082.33027,2980.46,2322.68,0,6000,1116.967993,289.439818,0
C10268,2734.66412,560.73,0,0,7500,717.798364,670.049653,0
C10269,80.708806,569.9,0,0,9500,634.000055,92.012927,0
C10270,2554.525229,6186.77,87.69,1898.690655,10950,11198.92613,608.36886,0
C10271,535.947221,4550.81,1533.83,438.469118,8500,4317.191232,208.73456,0
C10272,3905.365959,150.8,0,1659.19931,7500,990.524408,989.783286,0
C10273,156.278339,1385.1,380,0,14000,1280.473571,193.369942,0
C10274,5131.319584,32539.78,5992.35,0,11500,26652.34432,1971.129435,1
C10275,5265.763713,410.24,365.53,15452.97758,16500,12005.3074,1055.547896,0
C10276,2.564117,47.95,0,0,1500,294.507498,86.245988,0
C10277,1873.084577,126.57,0,181.139378,2100,483.557464,524.426392,0
C10278,32.124999,380.89,0,0,5700,0,864.1732459,0
C10279,1473.495809,414,414,0,10500,5863.94034,570.250342,0
C10280,1504.82705,2010,1380,1189.292764,8500,859.829946,479.831475,0
C10281,7645.108427,4693.15,360.5,0,13500,4786.64868,1741.158024,0
C10282,1129.33758,498.96,498.96,72.259355,1000,829.505486,1623.389428,0
C10283,668.956687,224.2,76.08,978.9806305,9500,568.336995,272.270427,0
C10284,2302.184366,2856.57,1933.73,0,2500,2914.419813,2173.680619,0
C10285,272.711518,0,0,682.156051,3000,2755.877257,144.621645,0
C10286,4246.430225,0,0,9270.408108,7000,6010.525656,1793.262654,0
C10287,2420.761135,0,0,567.233798,3000,871.713321,609.206784,0
C10288,2935.324966,409.63,57.76,1876.241162,5000,580.13865,1114.588285,0
C10289,83.148283,843.34,0,0,6500,1024.267592,122.850835,0
C10290,5469.851311,0,0,512.792701,6000,1362.966798,2019.027883,0
C10291,280.142117,2236.49,1477.97,0,10000,1986.838064,233.614975,0
C10292,5790.930626,464.51,65.1,2516.727082,6000,1515.594331,2092.915898,0
C10293,3605.714046,1779,0,0,5000,856.05828,761.012234,0
C10294,3992.261885,0,0,348.834361,4000,1057.678259,1229.820066,0
C10295,41.833264,456.36,456.36,0,6000,370.996177,163.287618,0
C10296,635.090434,5758.71,3506.34,0,2900,7943.57021,197.416104,0
C10297,1521.1681,245.98,0,2792.67597,6000,2261.523522,388.258009,0
C10298,5547.092593,0,0,3298.958165,12000,1786.142816,1351.998523,0
C10299,2503.107213,733.9,0,0,3000,1620.193277,857.535876,0
C10300,191.450711,1641.07,0,380.972341,500,1583.918811,137.046292,0
C10301,3621.70204,674.73,0,1684.957411,4000,1139.058595,1403.477006,0
C10302,2762.479434,2702.47,1176.16,0,11000,7596.768364,1013.086448,0
C10303,4338.606862,0,0,1817.569093,8000,8019.800702,964.118618,0
C10304,388.873921,1579.15,116.8,0,2700,451.600059,199.955286,0
C10305,9261.310686,0,0,8603.045938,11000,1933.413908,2576.552758,0
C10306,208.131845,2161.38,1709.88,0,4500,2059.879468,165.05215,0
C10307,169.088238,1482.19,1036.12,0,6000,1289.570234,173.686552,0
C10308,133.911556,1446.05,901.6,0,3500,1364.121036,186.240772,0
C10309,1613.34907,0,0,1606.322681,4500,312.433361,648.139459,0
C10310,566.908563,397.06,93.36,0,2100,0,864.1732459,0
C10311,53.208422,498.17,39.15,0,15000,611.606459,162.94308,0
C10312,1329.967543,2009.12,712.44,1763.794583,2500,2715.972095,956.330023,0
C10313,515.904786,5359.02,2959.24,0,6000,0,864.1732459,0
C10314,927.041961,0,0,402.974164,1000,719.974244,339.553093,0
C10315,1872.767651,0,0,3394.509419,5500,1151.721386,627.015802,0
C10316,185.396312,0,0,842.456926,1000,117.542764,137.6915,0
C10317,4823.822993,0,0,6481.300951,7000,863.62306,1148.631716,0
C10318,994.105777,126.2,0,0,1950,314.302968,417.290247,0
C10319,40.089221,225,225,0,1500,325.578502,286.122587,0
C10320,0.478714,734.97,575.97,0,6000,1159.135064,864.1732459,0
C10321,4732.37354,14.95,14.95,2173.356068,5700,1289.284068,1172.289863,0
C10322,9206.811696,874.98,524.98,4653.693195,12500,2055.100879,2199.077716,0
C10323,6719.376505,0,0,2443.262416,7500,1493.089193,2488.976669,0
C10324,2233.074041,445.2,0,0,8000,1042.991769,579.587654,0
C10325,1867.649838,0,0,3264.573342,4500,476.162309,401.970276,0
C10326,57.842746,689.34,689.34,0,1500,453.842413,148.28357,0
C10327,4194.033835,2006.87,1586.27,0,21000,19714.09728,1479.309409,0
C10328,2459.862339,678,0,978.9806305,2500,1926.31853,1933.173023,0
C10329,850.630114,0.05,0,1700.634586,1000,1084.281127,367.409536,0
C10330,353.198215,3085.69,52.72,0,8500,2690.525687,192.66679,0
C10331,2669.160638,0,0,142.141325,3000,642.777061,1122.076137,0
C10332,92.440743,1080,0,0,6000,1077.058667,169.005281,0
C10333,706.675991,2721.16,303.75,0,6500,4952.900653,280.821958,0
C10334,361.319366,3095.96,1712.4,0,14000,4003.782858,197.186568,0
C10335,2324.086254,0,0,1600.758078,2300,2147.890523,2077.873573,0
C10336,2922.487907,71.07,71.07,3595.158425,9500,9226.751112,797.250949,0
C10337,98.364739,65,65,0,1200,718.794328,53.655347,0
C10338,498.208616,4786.61,388.97,0,9000,3805.669705,163.459999,0
C10339,16.93339,174.42,174.42,0,2500,347.08638,149.301101,0
C10340,3355.631092,242.88,242.88,0,13500,6084.115091,890.639118,0
C10341,907.982017,216.94,0,1011.997944,3200,222.02316,300.210049,0
C10342,1132.386178,2246.3,0,14048.07181,6000,32048.6122,406.790252,0
C10343,1254.6691,361.73,0,198.686744,1500,535.606816,432.68808,0
C10344,80.336636,330,0,0,1800,345.330572,85.297166,0
C10345,260.838885,2854.11,1056.15,0,9500,2437.332725,176.283228,0
C10346,17.356961,390,300,0,2000,302.454171,74.667401,0
C10347,1897.672025,422.18,0,0,5500,2961.632199,440.30634,0
C10348,1032.241153,1005.52,541.02,0,3000,1866.265366,237.328382,0
C10349,3536.601227,2132.93,1173.83,5340.016172,11000,8251.146946,834.025674,0
C10350,21.580264,284.72,284.72,0,5000,344.161416,155.792859,0
C10351,4211.539631,0,0,455.581546,10500,1288.287239,1164.178674,0
C10352,1732.715258,3244.16,763.31,0,11500,5674.185857,563.827502,0
C10353,8939.461145,2490.17,1585,5309.949725,9500,3957.017497,4951.58548,0
C10354,36.567901,1098.31,0,0,4800,0,864.1732459,0
C10355,41.754778,636.15,0,0,8500,918.414211,57.150516,0
C10356,1937.246177,3018.93,1316.31,0,5000,3909.837604,444.12429,0
C10357,99.955082,1222.97,1020,0,19500,1142.077891,185.657751,0
C10358,5135.604593,110.18,110.18,6551.99521,6000,1716.998424,2463.472147,0
C10359,214.896542,0,0,1192.015721,3000,2298.902197,214.263752,0
C10360,1543.287931,0,0,36.481832,1800,548.589391,529.340488,0
C10361,601.92037,983.77,380,0,2400,389.411161,219.465695,0
C10362,1261.05733,0,0,474.429843,1500,866.865018,354.381003,0
C10363,85.285023,423.24,136.24,0,11000,296.01675,134.448872,0
C10364,1903.688611,6079.5,1360,10227.22894,7300,18552.39489,762.263884,0
C10365,813.068705,439.38,0,727.658311,1200,237.996469,265.708814,0
C10366,1279.325142,1207.25,1207.25,0,1200,1282.705869,1300.596775,0
C10367,237.669312,259.13,0,0,2300,2680.635587,2503.374595,0
C10368,5747.761139,1627.69,1627.69,0,5500,2507.704747,7490.453967,0
C10369,7760.940543,0,0,3423.085934,8000,2845.010795,2459.741299,0
C10370,6388.108487,0,0,3768.696678,8000,10973.14532,2384.817152,0
C10371,426.372628,5749.96,310,0,12000,5711.540654,202.73209,0
C10372,8806.866629,1490.94,1490.92,2813.063846,9000,2116.662516,3598.719728,0
C10373,282.934373,0,0,2333.150712,3000,0,864.1732459,0
C10374,1128.229387,5068.88,1539,0,4500,3904.568067,373.931063,0
C10375,2045.541408,1067.28,1067.28,0,2000,2021.775795,3073.416298,0
C10376,8.520292,64.12,0,0,7000,176.600545,76.462301,0
C10377,11278.95243,6855.59,4092.67,0,18500,4868.088671,2861.890896,0
C10378,143.443832,1631,1631,0,2500,2550.799492,157.269321,0
C10379,241.223955,180.91,0,0,1400,802.858576,220.455533,0
C10380,1528.571561,0,0,172.931118,1600,353.582373,559.030296,0
C10381,12474.72954,136.88,136.88,515.147607,14000,3519.008859,3430.627754,0
C10382,566.147105,0,0,187.572355,2000,1177.661577,190.365154,0
C10383,1077.606225,343.21,0,1609.900552,1500,930.328071,3245.693485,0
C10384,1.838084,16.5,0,0,6000,57.595083,67.1925,0
C10385,507.144348,5708.18,1123.4,0,4000,5589.952268,232.131169,0
C10386,816.82453,42.3,0,3967.709973,6000,361.853722,645.320421,0
C10387,1526.506915,46.67,0,0,1800,338.413344,642.547142,0
